,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,QBrec,Cmp%,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,NY/A,ANY/A,Sk%,4QC,GWD,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
0,MattRyan,ATL,35,QB,16,16,407,626,4581,5337,8.5,2939,7.2,4.7,1642,4.0,4-12-0,65.0,26,4.2,11,1.8,242,63,7.3,7.4,11.3,286.3,93.3,67.0,41,257,6.48,6.52,6.1,,,ATL,79.0,75.0,68.0,70,65,80,74,70,71,bye,62,69.0,67,57.0,65.0,68.0,72.0,1112.0,69.5
1,TomBrady,TAM,43,QB,16,16,401,610,4633,5531,9.1,2833,7.1,4.6,1800,4.5,11-5-0,65.7,40,6.6,12,2.0,233,50,7.6,8.0,11.6,289.6,102.2,72.5,21,143,7.12,7.53,3.3,3.0,3.0,TB,70.0,61.0,68.0,76,71,55,72,70,49,75,69,59.0,bye,51.0,68.0,43.0,67.0,1024.0,64.0
2,BenRoethlisberger,PIT,38,QB,15,15,399,608,3803,4220,6.9,1850,4.6,3.0,1953,4.9,12-3-0,65.6,33,5.4,10,1.6,193,84,6.3,6.6,9.5,253.5,94.1,60.1,13,118,5.93,6.27,2.1,4.0,4.0,PIT,64.0,65.0,80.0,bye,75,58,79,53,65,69,69,72.0,71,57.0,65.0,68.0,0.0,1010.0,67.3
3,JustinHerbert,LAC,22,QB,15,15,396,595,4336,4378,7.4,2121,5.4,3.6,2215,5.6,6-9-0,66.6,31,5.2,10,1.7,216,72,7.3,7.6,10.9,289.1,98.3,69.5,32,218,6.57,6.84,5.1,1.0,3.0,LAC,0.0,83.0,78.0,53,71,bye,79,87,78,63,82,83.0,72,73.0,66.0,57.0,72.0,1097.0,73.1
4,PatrickMahomes,KAN,25,QB,15,15,390,588,4740,4910,8.4,2473,6.3,4.2,2267,5.8,14-1-0,66.3,38,6.5,6,1.0,238,75,8.1,8.9,12.2,316.0,108.2,82.9,22,147,7.53,8.33,3.6,3.0,3.0,KC,69.0,77.0,75.0,0,72,73,41,54,62,bye,78,79.0,64,62.0,98.0,67.0,0.0,971.0,69.4
5,JoshAllen,BUF,24,QB,16,16,396,572,4544,4857,8.5,2692,6.8,4.7,1852,4.7,13-3-0,69.2,37,6.5,10,1.7,228,55,7.9,8.5,11.5,284.0,107.2,81.7,26,159,7.33,7.82,4.3,2.0,3.0,BUF,87.0,61.0,62.0,61,65,53,73,58,68,73,bye,61.0,73,75.0,72.0,57.0,35.0,1034.0,64.6
6,KylerMurray,ARI,23,QB,16,16,375,558,3971,4340,7.8,2213,5.9,4.0,1758,4.7,8-8-0,67.2,26,4.7,12,2.2,205,80,7.1,7.1,10.6,248.2,94.3,68.9,27,176,6.49,6.45,4.6,3.0,4.0,ARI,82.0,77.0,65.0,57,75,62,83,bye,69,73,67,73.0,64,79.0,68.0,82.0,25.0,1101.0,68.8
7,RussellWilson,SEA,32,QB,16,16,384,558,4212,4809,8.6,2385,6.2,4.3,1827,4.8,12-4-0,68.8,40,7.2,13,2.3,213,62,7.5,7.9,11.0,263.3,105.1,73.5,47,301,6.46,6.82,7.8,3.0,3.0,SEA,62.0,63.0,76.0,63,54,bye,84,68,65,67,66,67.0,72,55.0,57.0,63.0,65.0,1047.0,65.4
8,JaredGoff,LAR,26,QB,15,15,370,552,3952,3406,6.2,1800,4.9,3.3,2152,5.8,9-6-0,67.0,20,3.6,13,2.4,188,56,7.2,6.8,10.7,263.5,90.0,58.5,23,161,6.59,6.27,4.0,0.0,1.0,LAR,73.0,69.0,69.0,57,68,60,0,95,bye,70,72,62.0,82,63.0,59.0,75.0,0.0,974.0,69.6
9,DeshaunWatson,HOU,25,QB,16,16,382,544,4823,4840,8.9,2847,7.5,5.2,1976,5.2,4-12-0,70.2,33,6.1,7,1.3,221,77,8.9,9.5,12.6,301.4,112.4,70.5,49,293,7.64,8.22,8.3,,,HOU,59.0,59.0,47.0,65,58,71,68,bye,65,57,61,56.0,64,65.0,69.0,52.0,63.0,979.0,61.2
10,PhilipRivers,IND,39,QB,16,16,369,543,4169,3893,7.2,1948,5.3,3.6,2221,6.0,11-5-0,68.0,24,4.4,11,2.0,200,55,7.7,7.7,11.3,260.6,97.0,62.5,19,118,7.21,7.18,3.4,2.0,3.0,IND,73.0,73.0,46.0,72,56,63,bye,77,67,69,77,64.0,66,58.0,51.0,69.0,63.0,1044.0,65.3
11,MatthewStafford,DET,32,QB,16,16,339,528,4084,4609,8.7,2343,6.9,4.4,1741,5.1,5-11-0,64.2,26,4.9,10,1.9,205,73,7.7,7.9,12.0,255.3,96.3,68.4,38,254,6.77,6.89,6.7,3.0,4.0,DET,78.0,59.0,66.0,61,bye,45,61,61,60,59,56,82.0,68,60.0,56.0,4.0,58.0,934.0,58.4
12,AaronRodgers,GNB,37,QB,16,16,372,526,4299,4135,7.9,2051,5.5,3.9,2248,6.0,13-3-0,70.7,48,9.1,5,1.0,216,78,8.2,9.6,11.6,268.7,121.5,84.4,20,182,7.54,8.89,3.7,1.0,2.0,GB,75.0,68.0,62.0,62,bye,60,60,74,62,65,60,69.0,61,67.0,62.0,63.0,46.0,1016.0,63.5
13,DerekCarr,LVR,29,QB,16,16,348,517,4103,4184,8.1,2147,6.2,4.2,1956,5.6,8-8-0,67.3,27,5.2,9,1.7,193,85,7.9,8.2,11.8,256.4,101.4,71.0,26,150,7.28,7.53,4.8,3.0,5.0,LV,63.0,80.0,59.0,74,70,bye,65,72,51,72,59,52.0,78,68.0,11.0,64.0,69.0,1007.0,62.9
14,KirkCousins,MIN,32,QB,16,16,349,516,4265,4103,8.0,2329,6.7,4.5,1936,5.5,7-9-0,67.6,35,6.8,13,2.5,212,71,8.3,8.5,12.2,266.6,105.0,63.2,39,256,7.22,7.43,7.0,1.0,3.0,MIN,52.0,54.0,65.0,66,87,56,bye,52,58,73,64,73.0,91,79.0,68.0,64.0,80.0,1082.0,67.6
15,TeddyBridgewater,CAR,28,QB,15,15,340,492,3733,3511,7.1,1853,5.5,3.8,1880,5.5,4-11-0,69.1,15,3.0,11,2.2,174,75,7.6,7.2,11.0,248.9,92.1,64.2,31,205,6.75,6.37,5.9,,,CAR,67.0,73.0,51.0,76,65,68,46,48,83,43,0,65.0,bye,67.0,69.0,67.0,39.0,927.0,61.8
16,BakerMayfield,CLE,25,QB,16,16,305,486,3563,4124,8.5,2203,7.2,4.5,1360,4.5,11-5-0,62.8,26,5.3,8,1.6,188,75,7.3,7.7,11.7,222.7,95.9,72.2,26,162,6.64,6.96,5.1,2.0,2.0,CLE,73.0,58.0,63.0,75,73,42,52,49,bye,65,67,67.0,72,83.0,64.0,81.0,62.0,1046.0,65.4
17,RyanTannehill,TEN,32,QB,16,16,315,481,3819,4029,8.4,2295,7.3,4.8,1524,4.8,11-5-0,65.5,33,6.9,7,1.5,202,75,7.9,8.7,12.1,238.7,106.5,78.3,24,173,7.22,7.9,4.8,5.0,6.0,TEN,81.0,62.0,75.0,bye,66,75,57,62,55,59,70,69.0,73,60.0,65.0,52.0,71.0,1052.0,65.8
18,DanielJones,NYG,23,QB,14,14,280,448,2943,3189,7.1,1827,6.5,4.1,1116,4.0,5-9-0,62.5,11,2.5,10,2.2,148,53,6.6,6.1,10.5,210.2,80.4,61.5,45,286,5.39,4.92,9.1,0.0,0.0,NYG,68.0,65.0,52.0,68,68,48,60,74,77,71,bye,51.0,0,44.0,0.0,64.0,58.0,868.0,62.0
19,DrewLock,DEN,24,QB,13,13,254,443,2933,3883,8.8,1530,6.0,3.5,1403,5.5,4-9-0,57.3,16,3.6,15,3.4,145,92,6.6,5.8,11.5,225.6,75.4,48.8,19,123,6.08,5.31,4.1,1.0,1.0,DEN,59.0,13.0,0.0,0,bye,64,76,65,73,71,65,0.0,66,61.0,64.0,77.0,81.0,835.0,64.2
20,CarsonWentz,PHI,28,QB,12,12,251,437,2620,3836,8.8,1605,6.4,3.7,1015,4.0,3-8-1,57.4,16,3.7,15,3.4,130,59,6.0,5.2,10.4,218.3,72.8,49.6,50,326,4.71,3.98,10.3,3.0,2.0,PHI,68.0,71.0,91.0,62,59,72,80,63,bye,67,68,70.0,36,0.0,0.0,0.0,0.0,807.0,67.3
21,JoeBurrow,CIN,24,qb,10,10,264,404,2688,3438,8.5,1550,5.9,3.8,1138,4.3,2-7-1,65.3,13,3.2,5,1.2,150,67,6.7,6.7,10.2,268.8,89.8,56.2,32,231,5.64,5.72,7.3,,,CIN,68.0,92.0,71.0,75,67,73,75,73,bye,65,50,0.0,0,0.0,0.0,0.0,0.0,709.0,70.9
22,DrewBrees,NOR,41,QB,12,12,275,390,2942,2361,6.1,1464,5.3,3.8,1478,5.4,9-3-0,70.5,24,6.2,6,1.5,149,52,7.5,8.1,10.7,245.2,106.4,74.6,13,89,7.08,7.6,3.2,1.0,3.0,NO,66.0,60.0,59.0,67,72,bye,69,70,60,20,0,0.0,0,0.0,54.0,68.0,52.0,717.0,59.8
23,LamarJackson,BAL,23,QB,15,15,242,376,2757,3241,8.6,1588,6.6,4.2,1169,4.8,11-4-0,64.4,26,6.9,9,2.4,138,47,7.3,7.6,11.4,183.8,99.3,73.7,29,160,6.41,6.7,7.2,1.0,1.0,BAL,53.0,65.0,56.0,47,62,73,bye,82,64,66,65,0.0,55,49.0,55.0,68.0,57.0,917.0,61.1
24,CamNewton,NWE,31,QB,15,15,242,368,2657,2496,6.8,1393,5.8,3.8,1264,5.2,7-8-0,65.8,8,2.2,10,2.7,133,50,7.2,6.4,11.0,177.1,82.9,47.0,31,195,6.17,5.44,7.8,1.0,3.0,NE,64.0,72.0,69.0,0,bye,57,32,65,81,58,69,53.0,58,45.0,55.0,33.0,65.0,876.0,58.4
25,SamDarnold,NYJ,23,QB,12,12,217,364,2208,2794,7.7,1053,4.9,2.9,1155,5.3,2-10-0,59.6,9,2.5,11,3.0,109,69,6.1,5.2,10.2,184.0,72.7,40.1,35,234,4.95,4.16,8.8,,,NYJ,56.0,65.0,64.0,72,0,0,57,57,0,bye,0,55.0,62,53.0,65.0,69.0,63.0,738.0,61.5
26,AndyDalton,DAL,33,qb,11,9,216,333,2170,2278,6.8,1127,5.2,3.4,1043,4.8,4-5-0,64.9,14,4.2,8,2.4,116,69,6.5,6.3,10.0,197.3,87.3,53.8,24,184,5.56,5.34,6.7,2.0,3.0,DAL,0.0,2.0,0.0,0,22,86,45,0,0,bye,66,59.0,79,51.0,58.0,70.0,83.0,621.0,56.5
27,GardnerMinshew,JAX,24,qb,9,8,216,327,2259,2558,7.8,1243,5.8,3.8,1016,4.7,1-7-0,66.1,16,4.9,5,1.5,117,51,6.9,7.2,10.5,251.0,95.9,51.7,27,147,5.97,6.23,7.6,1.0,1.0,JAC,50.0,75.0,66.0,68,75,34,63,bye,0,0,0,0.0,0,39.0,58.0,0.0,0.0,528.0,58.7
28,NickMullens,SFO,25,qb,10,8,211,326,2437,2053,6.3,1198,5.7,3.7,1239,5.9,2-6-0,64.7,12,3.7,12,3.7,120,49,7.5,6.6,11.5,243.7,84.1,43.6,19,139,6.66,5.79,5.5,1.0,1.0,SF,0.0,29.0,77.0,50,0,0,0,29,57,70,bye,72.0,61,81.0,77.0,0.0,0.0,603.0,60.3
29,NickFoles,CHI,31,qb,9,7,202,312,1852,2502,8.0,1151,5.7,3.7,701,3.5,2-5-0,64.7,10,3.2,8,2.6,93,50,5.9,5.4,9.2,205.8,80.8,43.3,18,145,5.17,4.69,5.5,2.0,2.0,CHI,0.0,0.0,43.0,62,63,66,0,69,77,45,bye,0.0,0,0.0,0.0,8.0,0.0,433.0,54.1
30,MitchellTrubisky,CHI,26,qb,10,9,199,297,2055,2329,7.8,1052,5.3,3.5,1003,5.0,6-3-0,67.0,16,5.4,8,2.7,124,53,6.9,6.8,10.3,205.5,93.5,61.3,18,125,6.13,6.0,5.7,1.0,1.0,CHI,65.0,65.0,39.0,0,0,0,0,1,0,0,bye,68.0,69,60.0,64.0,64.0,75.0,570.0,57.0
31,TuaTagovailoa,MIA,22,qb,10,9,186,290,1814,2175,7.5,1048,5.6,3.6,766,4.1,6-3-0,64.1,11,3.8,5,1.7,100,35,6.3,6.2,9.8,181.4,87.1,52.5,20,136,5.41,5.4,6.5,2.0,2.0,MIA,0.0,0.0,0.0,0,0,5,bye,49,61,58,44,0.0,70,83.0,72.0,46.0,83.0,571.0,57.1
32,RyanFitzpatrick,MIA,38,qb,9,7,183,267,2091,2072,7.8,1236,6.8,4.6,855,4.7,4-3-0,68.5,13,4.9,8,3.0,106,70,7.8,7.5,11.4,232.3,95.6,76.9,14,65,7.21,6.85,5.0,1.0,1.0,MIA,62.0,75.0,61.0,71,67,51,bye,0,0,0,21,71.0,0,0.0,0.0,17.0,0.0,496.0,55.1
33,AlexSmith,WAS,36,qb,8,6,168,252,1582,1286,5.1,629,3.7,2.5,953,5.7,5-1-0,66.7,6,2.4,8,3.2,74,68,6.3,5.3,9.4,197.8,78.5,34.8,22,139,5.27,4.39,8.0,1.0,1.0,WAS,0.0,0.0,0.0,0,29,0,0,bye,44,88,62,69.0,72,32.0,0.0,0.0,63.0,459.0,57.4
34,DwayneHaskins,WAS,23,qb,7,6,148,241,1439,1622,6.7,572,3.9,2.4,867,5.9,1-5-0,61.4,5,2.1,7,2.9,73,50,6.0,5.1,9.7,205.6,73.0,31.0,20,141,4.97,4.15,7.7,1.0,1.0,WAS,70.0,66.0,62.0,71,0,0,0,bye,0,0,0,0.0,0,31.0,80.0,46.0,0.0,426.0,60.9
35,DakPrescott,DAL,27,qb,5,5,151,222,1856,1762,7.9,1046,6.9,4.7,810,5.4,2-3-0,68.0,9,4.1,4,1.8,93,58,8.4,8.4,12.3,371.2,99.6,78.7,10,66,7.72,7.72,4.3,1.0,1.0,DAL,72.0,67.0,82.0,82,44,0,0,0,0,bye,0,0.0,0,0.0,0.0,0.0,0.0,347.0,69.4
36,MikeGlennon,JAX,31,qb,5,5,111,179,1072,1424,8.0,667,6.0,3.7,405,3.6,0-5-0,62.0,7,3.9,5,2.8,57,46,6.0,5.5,9.7,214.4,80.1,36.7,9,53,5.42,4.97,4.8,,,JAC,0.0,0.0,0.0,0,0,0,0,bye,0,0,0,65.0,71,32.0,0.0,55.0,65.0,288.0,57.6
37,JalenHurts,PHI,22,qb,15,4,77,148,1061,1350,9.1,593,7.7,4.0,468,6.1,1-3-0,52.0,6,4.1,4,2.7,45,81,7.2,6.8,13.8,70.7,77.6,41.0,13,59,6.22,5.85,8.1,,,PHI,0.0,3.0,3.0,4,2,7,5,2,bye,3,1,2.0,26,69.0,83.0,73.0,50.0,333.0,22.2
38,BrandonAllen,CIN,28,qb,5,5,90,142,925,940,6.6,368,4.1,2.6,557,6.2,1-4-0,63.4,5,3.5,4,2.8,42,72,6.5,6.0,10.3,185.0,82.0,44.9,7,51,5.87,5.33,4.7,1.0,1.0,CIN,0.0,0.0,0.0,0,0,0,0,0,bye,0,0,49.0,44,65.0,0.0,76.0,43.0,277.0,55.4
39,JimmyGaroppolo,SFO,29,qb,6,6,94,140,1096,879,6.3,382,4.1,2.7,714,7.6,3-3-0,67.1,7,5.0,5,3.6,55,76,7.8,7.2,11.7,182.7,92.4,61.5,11,77,6.75,6.19,7.3,,,SF,62.0,32.0,0.0,0,31,73,66,41,0,0,bye,0.0,0,0.0,0.0,0.0,0.0,305.0,50.8
40,JoeFlacco,NYJ,35,qb,5,4,74,134,864,1422,10.6,519,7.0,3.9,345,4.7,0-4-0,55.2,6,4.5,3,2.2,36,52,6.4,6.3,11.7,172.8,80.6,58.0,7,69,5.64,5.53,5.0,,,NYJ,0.0,0.0,0.0,4,69,71,0,0,46,bye,60,0.0,0,0.0,0.0,0.0,0.0,250.0,50.0
41,TaysomHill,NOR,30,wr,16,8,88,121,928,843,7.0,556,6.3,4.6,372,4.2,3-1-0,72.7,4,3.3,2,1.7,45,44,7.7,7.6,10.5,58.0,98.8,58.8,14,87,6.23,6.16,10.4,,,NO,17.0,14.0,13.0,20,20,bye,10,14,19,22,66,61.0,78,63.0,10.0,24.0,21.0,472.0,29.5
42,JakeLuton,JAX,24,qb,3,3,60,110,624,865,7.9,338,5.6,3.1,286,4.8,0-3-0,54.5,2,1.8,6,5.5,31,73,5.7,3.6,10.4,208.0,54.5,39.9,7,52,4.89,2.92,6.0,,,JAC,0.0,0.0,0.0,0,0,0,0,bye,69,64,58,0.0,0,0.0,0.0,0.0,0.0,191.0,63.7
43,CJBeathard,SFO,27,qb,6,2,66,104,787,838,8.1,443,6.7,4.3,344,5.2,1-1-0,63.5,6,5.8,0,0.0,42,49,7.6,8.7,11.9,131.2,105.7,53.7,9,71,6.34,7.4,8.0,,,SF,0.0,0.0,0.0,23,33,0,0,0,0,1,bye,0.0,0,0.0,7.0,56.0,66.0,186.0,31.0
44,KyleAllen,WAS,24,qb,4,4,60,87,610,523,6.0,286,4.8,3.3,324,5.4,1-3-0,69.0,4,4.6,1,1.1,30,52,7.0,7.4,10.2,152.5,99.3,74.5,7,44,6.02,6.39,7.4,,,WAS,0.0,0.0,0.0,0,25,73,69,bye,10,0,0,0.0,0,0.0,0.0,0.0,0.0,177.0,44.3
45,ColtMcCoy,NYG,34,qb,4,2,40,66,375,590,8.9,248,6.2,3.8,127,3.2,1-1-0,60.6,1,1.5,1,1.5,19,35,5.7,5.3,9.4,93.8,75.0,36.6,5,24,4.94,4.59,7.0,,,NYG,0.0,0.0,0.0,0,0,0,0,0,0,0,bye,30.0,56,5.0,54.0,0.0,0.0,145.0,36.3
46,JeffDriskel,DEN,27,qb,3,1,35,64,432,638,10.0,301,8.6,4.7,131,3.7,0-1-0,54.7,3,4.7,2,3.1,18,45,6.8,6.3,12.3,144.0,78.4,43.4,11,98,4.45,4.05,14.7,,,DEN,0.0,64.0,50.0,1,bye,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,115.0,38.3
47,PhillipWalker,CAR,25,qb,4,1,32,56,368,583,10.4,227,7.1,4.1,141,4.4,1-0-0,57.1,1,1.8,5,8.9,17,52,6.6,2.9,11.5,92.0,45.8,,4,31,5.62,2.2,6.7,,,CAR,0.0,0.0,0.0,0,0,0,0,9,0,5,71,0.0,bye,0.0,0.0,0.0,22.0,107.0,26.8
48,JarrettStidham,NWE,24,,5,0,22,44,256,268,6.1,76,3.5,1.7,180,8.2,,50.0,2,4.5,3,6.8,12,38,5.8,3.7,11.6,51.2,54.7,15.9,4,21,4.9,2.92,8.3,,,NE,0.0,0.0,0.0,0,bye,0,20,0,0,0,0,0.0,9,14.0,0.0,17.0,0.0,60.0,15.0
49,ChaseDaniel,DET,34,,4,0,29,43,264,275,6.4,145,5.0,3.4,119,4.1,,67.4,1,2.3,2,4.7,14,28,6.1,4.5,9.1,66.0,72.2,20.5,3,29,5.11,3.59,6.5,,,DET,0.0,0.0,0.0,0,bye,0,0,0,15,0,0,0.0,0,7.0,9.0,34.0,0.0,65.0,16.3
